node,col,row,failure_count,total_tests
0,0,0,0,52
1,0,1,0,48
2,0,2,0,52
3,0,3,0,48
4,0,4,0,52
5,1,0,0,48
6,1,1,0,52
7,1,2,0,48
8,1,3,26,52
9,1,4,23,48
10,2,0,0,52
11,2,1,0,48
12,2,2,0,52
13,2,3,0,48
14,2,4,0,52
15,3,0,0,48
16,3,1,0,52
17,3,2,0,48
18,3,3,0,52
19,3,4,0,48
20,4,0,26,52
21,4,1,0,48
22,4,2,0,52
23,4,3,0,48
24,4,4,0,52
25,5,0,0,48
26,5,1,0,52
27,5,2,0,48
28,5,3,0,52
29,5,4,0,48
30,6,0,0,52
31,6,1,0,48
32,6,2,0,52
33,6,3,0,48
34,6,4,0,52
35,7,0,0,48
36,7,1,0,52
37,7,2,0,48
38,7,3,0,52
39,7,4,0,48
40,8,0,0,52
41,8,1,0,48
42,8,2,0,52
43,8,3,23,48
44,8,4,0,52
45,9,0,0,48
46,9,1,0,52
47,9,2,0,48
48,9,3,0,52
49,9,4,0,48
50,10,0,0,52
51,10,1,0,48
52,10,2,0,52
53,10,3,0,48
54,10,4,0,52
55,11,0,0,48
56,11,1,0,52
57,11,2,0,48
58,11,3,0,52
59,11,4,0,48
60,12,0,0,52
61,12,1,0,48
62,12,2,0,52
63,12,3,0,48
64,12,4,26,52
65,13,0,0,48
66,13,1,0,52
67,13,2,0,48
68,13,3,0,52
69,13,4,0,48
70,14,0,0,52
71,14,1,23,48
72,14,2,0,52
73,14,3,0,48
74,14,4,0,52
75,15,0,23,48
76,15,1,0,52
77,15,2,0,48
78,15,3,0,52
79,15,4,0,48
80,16,0,0,52
81,16,1,0,48
82,16,2,0,52
83,16,3,0,48
84,16,4,0,52
85,17,0,0,48
86,17,1,26,52
87,17,2,0,48
88,17,3,0,52
89,17,4,0,48
90,18,0,0,52
91,18,1,0,48
92,18,2,0,52
93,18,3,0,48
94,18,4,0,52
95,19,0,0,48
96,19,1,0,52
97,19,2,0,48
98,19,3,0,52
99,19,4,23,48
100,20,0,0,52
101,20,1,23,48
102,20,2,0,52
103,20,3,0,48
104,20,4,0,52
