node,col,row,failure_count,total_tests
0,0,0,14,50
1,0,1,10,50
2,0,2,8,50
3,0,3,15,50
4,0,4,11,50
5,1,0,21,50
6,1,1,20,50
7,1,2,23,50
8,1,3,18,50
9,1,4,14,50
10,2,0,25,50
11,2,1,23,50
12,2,2,22,50
13,2,3,25,50
14,2,4,24,50
15,3,0,26,50
16,3,1,27,50
17,3,2,19,50
18,3,3,24,50
19,3,4,24,50
20,4,0,23,50
21,4,1,22,50
22,4,2,22,50
23,4,3,27,50
24,4,4,27,50
25,5,0,28,50
26,5,1,20,50
27,5,2,19,50
28,5,3,27,50
29,5,4,18,50
30,6,0,27,50
31,6,1,24,50
32,6,2,28,50
33,6,3,26,50
34,6,4,23,50
35,7,0,27,50
36,7,1,18,50
37,7,2,17,50
38,7,3,19,50
39,7,4,26,50
40,8,0,25,50
41,8,1,23,50
42,8,2,24,50
43,8,3,27,50
44,8,4,27,50
45,9,0,22,50
46,9,1,22,50
47,9,2,23,50
48,9,3,21,50
49,9,4,22,50
50,10,0,36,50
51,10,1,21,50
52,10,2,23,50
53,10,3,23,50
54,10,4,31,50
55,11,0,22,50
56,11,1,23,50
57,11,2,23,50
58,11,3,22,50
59,11,4,22,50
60,12,0,27,50
61,12,1,29,50
62,12,2,26,50
63,12,3,25,50
64,12,4,31,50
65,13,0,25,50
66,13,1,23,50
67,13,2,19,50
68,13,3,26,50
69,13,4,19,50
70,14,0,23,50
71,14,1,24,50
72,14,2,29,50
73,14,3,24,50
74,14,4,19,50
75,15,0,24,50
76,15,1,23,50
77,15,2,25,50
78,15,3,25,50
79,15,4,24,50
80,16,0,14,50
81,16,1,25,50
82,16,2,21,50
83,16,3,23,50
84,16,4,23,50
85,17,0,21,50
86,17,1,24,50
87,17,2,23,50
88,17,3,21,50
89,17,4,20,50
90,18,0,23,50
91,18,1,16,50
92,18,2,20,50
93,18,3,24,50
94,18,4,27,50
95,19,0,20,50
96,19,1,22,50
97,19,2,19,50
98,19,3,19,50
99,19,4,18,50
100,20,0,26,50
101,20,1,23,50
102,20,2,23,50
103,20,3,27,50
104,20,4,21,50
