node,col,row,failure_count,total_tests
0,0,0,16,51
1,0,1,11,49
2,0,2,10,51
3,0,3,11,49
4,0,4,12,51
5,1,0,13,49
6,1,1,15,51
7,1,2,15,49
8,1,3,15,51
9,1,4,23,49
10,2,0,23,51
11,2,1,22,49
12,2,2,30,51
13,2,3,26,49
14,2,4,22,51
15,3,0,25,49
16,3,1,25,51
17,3,2,23,49
18,3,3,22,51
19,3,4,20,49
20,4,0,26,51
21,4,1,26,49
22,4,2,21,51
23,4,3,22,49
24,4,4,18,51
25,5,0,29,49
26,5,1,28,51
27,5,2,24,49
28,5,3,22,51
29,5,4,26,49
30,6,0,22,51
31,6,1,27,49
32,6,2,30,51
33,6,3,19,49
34,6,4,19,51
35,7,0,22,49
36,7,1,25,51
37,7,2,23,49
38,7,3,25,51
39,7,4,18,49
40,8,0,22,51
41,8,1,25,49
42,8,2,30,51
43,8,3,26,49
44,8,4,29,51
45,9,0,19,49
46,9,1,27,51
47,9,2,20,49
48,9,3,20,51
49,9,4,25,49
50,10,0,27,51
51,10,1,21,49
52,10,2,24,51
53,10,3,26,49
54,10,4,19,51
55,11,0,22,49
56,11,1,23,51
57,11,2,23,49
58,11,3,22,51
59,11,4,17,49
60,12,0,27,51
61,12,1,17,49
62,12,2,25,51
63,12,3,24,49
64,12,4,22,51
65,13,0,22,49
66,13,1,22,51
67,13,2,18,49
68,13,3,27,51
69,13,4,25,49
70,14,0,27,51
71,14,1,32,49
72,14,2,29,51
73,14,3,25,49
74,14,4,22,51
75,15,0,25,49
76,15,1,25,51
77,15,2,20,49
78,15,3,23,51
79,15,4,23,49
80,16,0,26,51
81,16,1,29,49
82,16,2,23,51
83,16,3,25,49
84,16,4,19,51
85,17,0,18,49
86,17,1,27,51
87,17,2,22,49
88,17,3,20,51
89,17,4,25,49
90,18,0,24,51
91,18,1,21,49
92,18,2,31,51
93,18,3,22,49
94,18,4,22,51
95,19,0,27,49
96,19,1,25,51
97,19,2,26,49
98,19,3,26,51
99,19,4,20,49
100,20,0,15,51
101,20,1,30,49
102,20,2,30,51
103,20,3,17,49
104,20,4,19,51
