parameter,total,accepted,accepted_mismatch,mismatch_rate_among_accepted
0.0001,100,100,0,0.0
0.0005,100,100,0,0.0
0.001,100,100,1,0.01
0.0027,100,100,4,0.04
0.005,112,112,10,0.08928571428571429
0.01,100,100,19,0.19
0.05,100,0,0,
