node,col,row,learned_rate,test_prob,adversary
0,0,0,0.0,0.0,0.0
1,0,1,0.12279718039090035,0.4999999999999999,0.0
2,0,2,0.0,0.0,0.0
3,1,0,0.12824415251521948,0.4999999999999999,0.0
4,1,1,0.35770214125918826,0.49999999999999994,0.0
5,1,2,0.0,0.0,0.0
6,2,0,0.3552253116011505,0.49999999999999994,0.0
7,2,1,0.4945530278756809,0.4999999999999999,0.0
8,2,2,0.0,0.0,0.0
11,3,2,0.0,0.0,0.0
9,3,0,0.12808394745273952,0.4999999999999999,0.0
10,3,1,0.3498721636305529,0.49999999999999994,0.0
12,4,0,0.0,0.0,0.0
13,4,1,0.12303748798462032,0.4999999999999999,0.0
14,4,2,0.0,0.0,0.0
15,5,0,0.0,0.0,0.0
16,5,1,0.0,0.0,0.0
17,5,2,0.0,0.0,0.0
19,6,1,0.0,0.0,0.0
20,6,2,0.0,0.0,0.0
18,6,0,0.141978267817194,0.4999999999999999,0.0
21,7,0,0.3305831464274271,0.49999999999999994,0.0
22,7,1,0.0,0.0,0.0
23,7,2,0.0,0.0,0.0
24,8,0,0.4507829977628635,0.4999999999999999,0.0
25,8,1,0.2754726049343159,0.49999999999999994,0.0
26,8,2,0.0,0.0,0.0
27,9,0,0.6211150272348607,0.49999999999999994,0.0
28,9,1,0.5626398210290827,0.4999999999999999,0.0
29,9,2,0.0,0.0,0.0
30,10,0,0.7004634068392458,0.4999999999999999,0.0
31,10,1,0.693447612944569,0.49999999999999994,0.0
32,10,2,0.0,0.0,0.0
35,11,2,0.0,0.0,0.0
33,11,0,0.29037167574495354,0.49999999999999994,0.0
34,11,1,0.5663950143815916,0.4999999999999999,0.5000000000000001
36,12,0,0.0,0.0,0.0
37,12,1,0.2898910605575136,0.49999999999999994,0.4999999999999999
38,12,2,0.0,0.0,0.0
39,13,0,0.0,0.0,0.0
40,13,1,0.0,0.0,0.0
41,13,2,0.0,0.0,0.0
43,14,1,0.0,0.0,0.0
44,14,2,0.24608501118568232,0.49999999999999994,0.0
42,14,0,0.0,0.0,0.0
45,15,0,0.0,0.0,0.0
46,15,1,0.0,0.0,0.0
47,15,2,0.5495033643063121,0.4999999999999999,0.0
48,16,0,0.0,0.0,0.0
49,16,1,0.050865107337391864,0.4999999999999999,0.0
50,16,2,0.24464685202940237,0.49999999999999994,0.0
51,17,0,0.05166613264979173,0.4999999999999999,0.0
52,17,1,0.2426494087567913,0.49999999999999994,0.0
53,17,2,0.0,0.0,0.0
54,18,0,0.24025247682965803,0.49999999999999994,0.0
55,18,1,0.3944248638256969,0.4999999999999999,0.0
56,18,2,0.0,0.0,0.0
59,19,2,0.0,0.0,0.0
57,19,0,0.05471002883691125,0.4999999999999999,0.0
58,19,1,0.24424736337488015,0.49999999999999994,0.0
60,20,0,0.0,0.0,0.0
61,20,1,0.052947773149631526,0.4999999999999999,0.0
62,20,2,0.0,0.0,0.0
