p_ent,width,depth,n_fail,n_rounds,p_failed_round,n_fail_run0,n_rounds_run0,n_fail_run1,n_rounds_run1,nodes,elapsed_s
0.0001,4,6,29,2000,0.0145,13,1023,16,977,100,2.328
0.0001,6,4,20,2000,0.01,12,967,8,1033,102,2.433
0.0001,5,5,21,2000,0.0105,4,1020,17,980,105,2.519
0.0001,6,5,27,2000,0.0135,13,1014,14,986,126,3.056
0.0001,5,6,33,2000,0.0165,16,1007,17,993,125,3.138
0.0001,6,6,30,2000,0.015,9,977,21,1023,150,3.66
0.0001,4,4,14,2000,0.007,8,1043,6,957,68,1.379
0.0001,4,5,13,2000,0.0065,3,984,10,1016,84,1.746
0.0001,3,6,17,2000,0.0085,6,968,11,1032,75,1.743
0.0001,6,3,19,2000,0.0095,8,998,11,1002,78,1.633
0.0001,2,6,10,2000,0.005,4,980,6,1020,50,1.045
0.0001,3,5,12,2000,0.006,6,969,6,1031,63,1.391
0.0001,5,3,14,2000,0.007,8,1033,6,967,65,1.45
0.0001,5,4,17,2000,0.0085,10,989,7,1011,85,1.986
0.0001,3,4,12,2000,0.006,4,1027,8,973,51,1.162
0.0001,4,3,10,2000,0.005,3,981,7,1019,52,1.058
0.0001,2,5,10,2000,0.005,3,999,7,1001,42,0.903
0.0001,6,2,20,2000,0.01,10,987,10,1013,54,1.243
0.0001,5,2,12,2000,0.006,7,1039,5,961,45,0.993
0.0001,3,3,10,2000,0.005,6,1015,4,985,39,0.767
0.0001,2,4,8,2000,0.004,6,991,2,1009,34,0.848
0.0001,4,2,8,2000,0.004,5,981,3,1019,36,0.779
0.0001,2,3,8,2000,0.004,6,1047,2,953,26,0.558
0.0001,1,6,8,2000,0.004,3,1037,5,963,25,0.57
0.0001,6,1,6,2000,0.003,4,1000,2,1000,30,0.698
0.0001,1,4,4,2000,0.002,4,1011,0,989,17,0.323
0.0001,1,5,1,2000,0.0005,1,1030,0,970,21,0.517
0.0001,3,2,5,2000,0.0025,2,963,3,1037,27,0.602
0.0001,2,2,2,2000,0.001,1,1003,1,997,18,0.354
0.0001,4,1,4,2000,0.002,2,1005,2,995,20,0.385
0.0001,5,1,8,2000,0.004,5,978,3,1022,25,0.546
0.0001,1,3,2,2000,0.001,2,991,0,1009,13,0.289
0.0001,3,1,3,2000,0.0015,2,1064,1,936,15,0.33
0.0001,1,1,0,2000,0.0,0,1003,0,997,5,0.092
0.0001,2,1,1,2000,0.0005,0,978,1,1022,10,0.21
0.0001,1,2,0,2000,0.0,0,991,0,1009,9,0.182
0.0001,9,9,73,2000,0.0365,35,1030,38,970,333,8.712
0.0001,8,10,79,2000,0.0395,35,957,44,1043,328,8.759
0.0001,10,8,71,2000,0.0355,28,987,43,1013,330,8.805
0.0001,9,10,99,2000,0.0495,45,1015,54,985,369,9.905
0.0001,10,9,103,2000,0.0515,53,1003,50,997,370,10.135
0.0001,10,10,105,2000,0.0525,46,1042,59,958,410,11.228
0.0001,7,10,83,2000,0.0415,46,990,37,1010,287,6.804
0.0001,8,8,69,2000,0.0345,29,1019,40,981,264,7.13
0.0001,8,9,68,2000,0.034,24,981,44,1019,296,7.81
0.0001,10,7,69,2000,0.0345,32,998,37,1002,290,7.686
0.0001,9,8,70,2000,0.035,30,957,40,1043,297,7.825
0.0001,6,10,75,2000,0.0375,32,981,43,1019,246,6.284
0.0001,7,9,61,2000,0.0305,35,1012,26,988,259,6.925
0.0001,9,7,61,2000,0.0305,32,988,29,1012,261,6.792
0.0001,7,8,54,2000,0.027,26,1009,28,991,231,5.744
0.0001,10,6,59,2000,0.0295,29,988,30,1012,250,6.182
0.0001,8,7,61,2000,0.0305,35,996,26,1004,232,6.02
0.0001,6,9,53,2000,0.0265,25,998,28,1002,222,5.642
0.0001,7,7,53,2000,0.0265,23,1032,30,968,203,5.235
0.0001,8,6,47,2000,0.0235,25,1010,22,990,200,5.14
0.0001,9,6,55,2000,0.0275,31,1022,24,978,225,5.924
0.0001,6,8,50,2000,0.025,22,993,28,1007,198,5.326
0.0001,6,7,45,2000,0.0225,25,994,20,1006,174,3.534
0.0001,7,6,42,2000,0.021,18,972,24,1028,175,3.237
