node,col,row,failure_count,total_tests
0,0,0,0,61
1,0,1,0,39
2,0,2,1,61
3,0,3,0,39
4,0,4,0,61
5,1,0,1,39
6,1,1,0,61
7,1,2,1,39
8,1,3,2,61
9,1,4,1,39
10,2,0,1,61
11,2,1,5,39
12,2,2,4,61
13,2,3,5,39
14,2,4,0,61
15,3,0,1,39
16,3,1,1,61
17,3,2,4,39
18,3,3,1,61
19,3,4,1,39
20,4,0,1,61
21,4,1,2,39
22,4,2,3,61
23,4,3,4,39
24,4,4,4,61
25,5,0,0,39
26,5,1,1,61
27,5,2,1,39
28,5,3,3,61
29,5,4,0,39
30,6,0,1,61
31,6,1,3,39
32,6,2,0,61
33,6,3,1,39
34,6,4,4,61
35,7,0,0,39
36,7,1,3,61
37,7,2,0,39
38,7,3,2,61
39,7,4,1,39
40,8,0,1,61
41,8,1,3,39
42,8,2,5,61
43,8,3,1,39
44,8,4,4,61
45,9,0,1,39
46,9,1,3,61
47,9,2,1,39
48,9,3,4,61
49,9,4,0,39
50,10,0,1,61
51,10,1,2,39
52,10,2,3,61
53,10,3,4,39
54,10,4,2,61
55,11,0,0,39
56,11,1,2,61
57,11,2,2,39
58,11,3,6,61
59,11,4,0,39
60,12,0,2,61
61,12,1,2,39
62,12,2,5,61
63,12,3,1,39
64,12,4,2,61
65,13,0,3,39
66,13,1,1,61
67,13,2,2,39
68,13,3,3,61
69,13,4,3,39
70,14,0,4,61
71,14,1,1,39
72,14,2,3,61
73,14,3,2,39
74,14,4,4,61
75,15,0,1,39
76,15,1,2,61
77,15,2,1,39
78,15,3,2,61
79,15,4,3,39
80,16,0,1,61
81,16,1,1,39
82,16,2,2,61
83,16,3,1,39
84,16,4,8,61
85,17,0,2,39
86,17,1,3,61
87,17,2,0,39
88,17,3,3,61
89,17,4,1,39
90,18,0,5,61
91,18,1,2,39
92,18,2,5,61
93,18,3,2,39
94,18,4,3,61
95,19,0,1,39
96,19,1,5,61
97,19,2,1,39
98,19,3,4,61
99,19,4,2,39
100,20,0,3,61
101,20,1,3,39
102,20,2,4,61
103,20,3,1,39
104,20,4,0,61
