node,col,row,failure_count,total_tests
0,0,0,0,57
1,0,1,0,43
2,0,2,1,57
3,0,3,1,43
4,0,4,4,57
5,1,0,0,43
6,1,1,0,57
7,1,2,1,43
8,1,3,2,57
9,1,4,2,43
10,2,0,2,57
11,2,1,0,43
12,2,2,1,57
13,2,3,2,43
14,2,4,3,57
15,3,0,3,43
16,3,1,1,57
17,3,2,0,43
18,3,3,5,57
19,3,4,3,43
20,4,0,2,57
21,4,1,2,43
22,4,2,0,57
23,4,3,3,43
24,4,4,2,57
25,5,0,0,43
26,5,1,2,57
27,5,2,3,43
28,5,3,2,57
29,5,4,1,43
30,6,0,1,57
31,6,1,2,43
32,6,2,5,57
33,6,3,2,43
34,6,4,6,57
35,7,0,3,43
36,7,1,2,57
37,7,2,1,43
38,7,3,4,57
39,7,4,1,43
40,8,0,4,57
41,8,1,1,43
42,8,2,4,57
43,8,3,2,43
44,8,4,5,57
45,9,0,4,43
46,9,1,3,57
47,9,2,2,43
48,9,3,2,57
49,9,4,2,43
50,10,0,3,57
51,10,1,4,43
52,10,2,6,57
53,10,3,3,43
54,10,4,2,57
55,11,0,1,43
56,11,1,1,57
57,11,2,1,43
58,11,3,7,57
59,11,4,0,43
60,12,0,2,57
61,12,1,5,43
62,12,2,2,57
63,12,3,3,43
64,12,4,0,57
65,13,0,2,43
66,13,1,2,57
67,13,2,1,43
68,13,3,2,57
69,13,4,1,43
70,14,0,2,57
71,14,1,1,43
72,14,2,2,57
73,14,3,2,43
74,14,4,4,57
75,15,0,1,43
76,15,1,2,57
77,15,2,0,43
78,15,3,3,57
79,15,4,2,43
80,16,0,3,57
81,16,1,3,43
82,16,2,3,57
83,16,3,1,43
84,16,4,4,57
85,17,0,1,43
86,17,1,4,57
87,17,2,2,43
88,17,3,2,57
89,17,4,3,43
90,18,0,1,57
91,18,1,4,43
92,18,2,2,57
93,18,3,1,43
94,18,4,1,57
95,19,0,0,43
96,19,1,3,57
97,19,2,1,43
98,19,3,2,57
99,19,4,1,43
100,20,0,3,57
101,20,1,2,43
102,20,2,3,57
103,20,3,0,43
104,20,4,1,57
