node,col,row,failure_count,total_tests
0,0,0,0,45
1,0,1,0,55
2,0,2,0,45
3,0,3,0,55
4,0,4,0,45
5,1,0,0,55
6,1,1,0,45
7,1,2,0,55
8,1,3,15,45
9,1,4,24,55
10,2,0,0,45
11,2,1,0,55
12,2,2,0,45
13,2,3,0,55
14,2,4,0,45
15,3,0,0,55
16,3,1,0,45
17,3,2,0,55
18,3,3,0,45
19,3,4,0,55
20,4,0,15,45
21,4,1,0,55
22,4,2,0,45
23,4,3,0,55
24,4,4,0,45
25,5,0,0,55
26,5,1,0,45
27,5,2,0,55
28,5,3,0,45
29,5,4,0,55
30,6,0,0,45
31,6,1,0,55
32,6,2,0,45
33,6,3,0,55
34,6,4,0,45
35,7,0,0,55
36,7,1,0,45
37,7,2,0,55
38,7,3,0,45
39,7,4,0,55
40,8,0,0,45
41,8,1,0,55
42,8,2,0,45
43,8,3,24,55
44,8,4,0,45
45,9,0,0,55
46,9,1,0,45
47,9,2,0,55
48,9,3,0,45
49,9,4,0,55
50,10,0,0,45
51,10,1,0,55
52,10,2,0,45
53,10,3,0,55
54,10,4,0,45
55,11,0,0,55
56,11,1,0,45
57,11,2,0,55
58,11,3,0,45
59,11,4,0,55
60,12,0,0,45
61,12,1,0,55
62,12,2,0,45
63,12,3,0,55
64,12,4,15,45
65,13,0,0,55
66,13,1,0,45
67,13,2,0,55
68,13,3,0,45
69,13,4,0,55
70,14,0,0,45
71,14,1,24,55
72,14,2,0,45
73,14,3,0,55
74,14,4,0,45
75,15,0,24,55
76,15,1,0,45
77,15,2,0,55
78,15,3,0,45
79,15,4,0,55
80,16,0,0,45
81,16,1,0,55
82,16,2,0,45
83,16,3,0,55
84,16,4,0,45
85,17,0,0,55
86,17,1,15,45
87,17,2,0,55
88,17,3,0,45
89,17,4,0,55
90,18,0,0,45
91,18,1,0,55
92,18,2,0,45
93,18,3,0,55
94,18,4,0,45
95,19,0,0,55
96,19,1,0,45
97,19,2,0,55
98,19,3,0,45
99,19,4,24,55
100,20,0,0,45
101,20,1,24,55
102,20,2,0,45
103,20,3,0,55
104,20,4,0,45
