node,col,row,failure_count,total_tests
0,0,0,7,60
1,0,1,10,40
2,0,2,12,60
3,0,3,5,40
4,0,4,9,60
5,1,0,10,40
6,1,1,15,60
7,1,2,15,40
8,1,3,12,60
9,1,4,10,40
10,2,0,28,60
11,2,1,13,40
12,2,2,28,60
13,2,3,18,40
14,2,4,26,60
15,3,0,15,40
16,3,1,24,60
17,3,2,18,40
18,3,3,23,60
19,3,4,13,40
20,4,0,29,60
21,4,1,17,40
22,4,2,26,60
23,4,3,19,40
24,4,4,19,60
25,5,0,14,40
26,5,1,27,60
27,5,2,19,40
28,5,3,19,60
29,5,4,14,40
30,6,0,19,60
31,6,1,19,40
32,6,2,29,60
33,6,3,16,40
34,6,4,25,60
35,7,0,14,40
36,7,1,22,60
37,7,2,13,40
38,7,3,23,60
39,7,4,12,40
40,8,0,11,60
41,8,1,19,40
42,8,2,28,60
43,8,3,18,40
44,8,4,31,60
45,9,0,17,40
46,9,1,26,60
47,9,2,8,40
48,9,3,23,60
49,9,4,14,40
50,10,0,23,60
51,10,1,13,40
52,10,2,24,60
53,10,3,18,40
54,10,4,26,60
55,11,0,19,40
56,11,1,22,60
57,11,2,16,40
58,11,3,19,60
59,11,4,9,40
60,12,0,21,60
61,12,1,16,40
62,12,2,24,60
63,12,3,19,40
64,12,4,18,60
65,13,0,14,40
66,13,1,23,60
67,13,2,12,40
68,13,3,24,60
69,13,4,12,40
70,14,0,18,60
71,14,1,15,40
72,14,2,28,60
73,14,3,16,40
74,14,4,22,60
75,15,0,18,40
76,15,1,26,60
77,15,2,13,40
78,15,3,31,60
79,15,4,19,40
80,16,0,23,60
81,16,1,14,40
82,16,2,31,60
83,16,3,13,40
84,16,4,31,60
85,17,0,17,40
86,17,1,25,60
87,17,2,11,40
88,17,3,21,60
89,17,4,15,40
90,18,0,27,60
91,18,1,25,40
92,18,2,21,60
93,18,3,21,40
94,18,4,25,60
95,19,0,19,40
96,19,1,23,60
97,19,2,14,40
98,19,3,26,60
99,19,4,16,40
100,20,0,30,60
101,20,1,18,40
102,20,2,23,60
103,20,3,14,40
104,20,4,17,60
