node,col,row,failure_count,total_tests
0,0,0,8,46
1,0,1,4,54
2,0,2,9,46
3,0,3,9,54
4,0,4,3,46
5,1,0,12,54
6,1,1,5,46
7,1,2,17,54
8,1,3,13,46
9,1,4,8,54
10,2,0,24,46
11,2,1,25,54
12,2,2,18,46
13,2,3,27,54
14,2,4,7,46
15,3,0,24,54
16,3,1,18,46
17,3,2,22,54
18,3,3,25,46
19,3,4,17,54
20,4,0,22,46
21,4,1,14,54
22,4,2,22,46
23,4,3,20,54
24,4,4,19,46
25,5,0,16,54
26,5,1,16,46
27,5,2,24,54
28,5,3,16,46
29,5,4,16,54
30,6,0,18,46
31,6,1,27,54
32,6,2,17,46
33,6,3,30,54
34,6,4,23,46
35,7,0,15,54
36,7,1,16,46
37,7,2,20,54
38,7,3,16,46
39,7,4,29,54
40,8,0,14,46
41,8,1,26,54
42,8,2,17,46
43,8,3,25,54
44,8,4,14,46
45,9,0,23,54
46,9,1,27,46
47,9,2,19,54
48,9,3,16,46
49,9,4,22,54
50,10,0,17,46
51,10,1,24,54
52,10,2,17,46
53,10,3,23,54
54,10,4,18,46
55,11,0,21,54
56,11,1,22,46
57,11,2,21,54
58,11,3,15,46
59,11,4,21,54
60,12,0,18,46
61,12,1,27,54
62,12,2,20,46
63,12,3,25,54
64,12,4,21,46
65,13,0,17,54
66,13,1,17,46
67,13,2,21,54
68,13,3,19,46
69,13,4,14,54
70,14,0,19,46
71,14,1,28,54
72,14,2,15,46
73,14,3,28,54
74,14,4,20,46
75,15,0,18,54
76,15,1,15,46
77,15,2,22,54
78,15,3,21,46
79,15,4,15,54
80,16,0,19,46
81,16,1,27,54
82,16,2,15,46
83,16,3,22,54
84,16,4,21,46
85,17,0,19,54
86,17,1,20,46
87,17,2,29,54
88,17,3,20,46
89,17,4,21,54
90,18,0,20,46
91,18,1,23,54
92,18,2,27,46
93,18,3,31,54
94,18,4,18,46
95,19,0,15,54
96,19,1,13,46
97,19,2,19,54
98,19,3,20,46
99,19,4,18,54
100,20,0,16,46
101,20,1,20,54
102,20,2,17,46
103,20,3,19,54
104,20,4,15,46
