node,col,row,failure_count,total_tests
0,0,0,12,44
1,0,1,7,56
2,0,2,9,44
3,0,3,11,56
4,0,4,11,44
5,1,0,16,56
6,1,1,20,44
7,1,2,15,56
8,1,3,18,44
9,1,4,19,56
10,2,0,25,44
11,2,1,27,56
12,2,2,21,44
13,2,3,25,56
14,2,4,12,44
15,3,0,26,56
16,3,1,17,44
17,3,2,25,56
18,3,3,20,44
19,3,4,14,56
20,4,0,24,44
21,4,1,28,56
22,4,2,15,44
23,4,3,34,56
24,4,4,22,44
25,5,0,24,56
26,5,1,16,44
27,5,2,23,56
28,5,3,27,44
29,5,4,21,56
30,6,0,21,44
31,6,1,26,56
32,6,2,26,44
33,6,3,24,56
34,6,4,24,44
35,7,0,25,56
36,7,1,18,44
37,7,2,26,56
38,7,3,21,44
39,7,4,20,56
40,8,0,19,44
41,8,1,28,56
42,8,2,19,44
43,8,3,35,56
44,8,4,19,44
45,9,0,27,56
46,9,1,25,44
47,9,2,26,56
48,9,3,16,44
49,9,4,22,56
50,10,0,22,44
51,10,1,28,56
52,10,2,24,44
53,10,3,23,56
54,10,4,18,44
55,11,0,25,56
56,11,1,22,44
57,11,2,28,56
58,11,3,18,44
59,11,4,27,56
60,12,0,26,44
61,12,1,30,56
62,12,2,19,44
63,12,3,27,56
64,12,4,14,44
65,13,0,27,56
66,13,1,20,44
67,13,2,22,56
68,13,3,17,44
69,13,4,23,56
70,14,0,18,44
71,14,1,28,56
72,14,2,17,44
73,14,3,26,56
74,14,4,25,44
75,15,0,25,56
76,15,1,20,44
77,15,2,17,56
78,15,3,27,44
79,15,4,23,56
80,16,0,16,44
81,16,1,19,56
82,16,2,28,44
83,16,3,25,56
84,16,4,20,44
85,17,0,26,56
86,17,1,20,44
87,17,2,27,56
88,17,3,22,44
89,17,4,27,56
90,18,0,22,44
91,18,1,30,56
92,18,2,18,44
93,18,3,21,56
94,18,4,21,44
95,19,0,26,56
96,19,1,11,44
97,19,2,31,56
98,19,3,22,44
99,19,4,20,56
100,20,0,24,44
101,20,1,22,56
102,20,2,23,44
103,20,3,27,56
104,20,4,15,44
