p_ent,width,depth,bqp_error,n_circuits,p_failed_round,p_false_reject
1e-06,3,5,1e-1,100,0.0,0.0
3.5938136638046257e-06,3,5,1e-1,100,0.0001,0.0
1.2915496650148827e-05,3,5,1e-1,100,0.0003,0.0
4.641588833612782e-05,3,5,1e-1,100,0.0007000000000000001,0.0
0.0001668100537200059,3,5,1e-1,100,0.004700000000000001,0.0
