node,col,row,failure_count,total_tests
0,0,0,5,64
1,0,1,2,36
2,0,2,6,64
3,0,3,2,36
4,0,4,9,64
5,1,0,5,36
6,1,1,12,64
7,1,2,6,36
8,1,3,8,64
9,1,4,4,36
10,2,0,21,64
11,2,1,13,36
12,2,2,20,64
13,2,3,8,36
14,2,4,14,64
15,3,0,12,36
16,3,1,15,64
17,3,2,7,36
18,3,3,16,64
19,3,4,9,36
20,4,0,24,64
21,4,1,17,36
22,4,2,13,64
23,4,3,15,36
24,4,4,10,64
25,5,0,8,36
26,5,1,19,64
27,5,2,3,36
28,5,3,15,64
29,5,4,8,36
30,6,0,9,64
31,6,1,16,36
32,6,2,16,64
33,6,3,10,36
34,6,4,20,64
35,7,0,7,36
36,7,1,16,64
37,7,2,7,36
38,7,3,13,64
39,7,4,5,36
40,8,0,14,64
41,8,1,8,36
42,8,2,18,64
43,8,3,17,36
44,8,4,24,64
45,9,0,10,36
46,9,1,19,64
47,9,2,10,36
48,9,3,11,64
49,9,4,8,36
50,10,0,22,64
51,10,1,10,36
52,10,2,23,64
53,10,3,11,36
54,10,4,13,64
55,11,0,10,36
56,11,1,17,64
57,11,2,8,36
58,11,3,24,64
59,11,4,11,36
60,12,0,19,64
61,12,1,11,36
62,12,2,15,64
63,12,3,18,36
64,12,4,18,64
65,13,0,10,36
66,13,1,13,64
67,13,2,9,36
68,13,3,18,64
69,13,4,13,36
70,14,0,11,64
71,14,1,12,36
72,14,2,15,64
73,14,3,9,36
74,14,4,16,64
75,15,0,10,36
76,15,1,9,64
77,15,2,9,36
78,15,3,20,64
79,15,4,13,36
80,16,0,13,64
81,16,1,11,36
82,16,2,19,64
83,16,3,7,36
84,16,4,19,64
85,17,0,10,36
86,17,1,12,64
87,17,2,12,36
88,17,3,20,64
89,17,4,11,36
90,18,0,24,64
91,18,1,14,36
92,18,2,13,64
93,18,3,8,36
94,18,4,16,64
95,19,0,12,36
96,19,1,17,64
97,19,2,7,36
98,19,3,18,64
99,19,4,6,36
100,20,0,15,64
101,20,1,12,36
102,20,2,15,64
103,20,3,6,36
104,20,4,10,64
