node,col,row,failure_count,total_tests
0,0,0,1,61
1,0,1,0,39
2,0,2,4,61
3,0,3,0,39
4,0,4,2,61
5,1,0,3,39
6,1,1,3,61
7,1,2,5,39
8,1,3,3,61
9,1,4,4,39
10,2,0,3,61
11,2,1,10,39
12,2,2,9,61
13,2,3,5,39
14,2,4,4,61
15,3,0,3,39
16,3,1,5,61
17,3,2,4,39
18,3,3,3,61
19,3,4,3,39
20,4,0,5,61
21,4,1,6,39
22,4,2,6,61
23,4,3,5,39
24,4,4,6,61
25,5,0,1,39
26,5,1,4,61
27,5,2,2,39
28,5,3,5,61
29,5,4,1,39
30,6,0,6,61
31,6,1,6,39
32,6,2,5,61
33,6,3,4,39
34,6,4,10,61
35,7,0,2,39
36,7,1,7,61
37,7,2,1,39
38,7,3,3,61
39,7,4,2,39
40,8,0,6,61
41,8,1,5,39
42,8,2,10,61
43,8,3,4,39
44,8,4,6,61
45,9,0,1,39
46,9,1,8,61
47,9,2,2,39
48,9,3,4,61
49,9,4,3,39
50,10,0,8,61
51,10,1,5,39
52,10,2,4,61
53,10,3,7,39
54,10,4,7,61
55,11,0,4,39
56,11,1,3,61
57,11,2,4,39
58,11,3,8,61
59,11,4,2,39
60,12,0,11,61
61,12,1,7,39
62,12,2,7,61
63,12,3,5,39
64,12,4,4,61
65,13,0,4,39
66,13,1,6,61
67,13,2,5,39
68,13,3,4,61
69,13,4,4,39
70,14,0,7,61
71,14,1,8,39
72,14,2,10,61
73,14,3,5,39
74,14,4,6,61
75,15,0,2,39
76,15,1,9,61
77,15,2,6,39
78,15,3,7,61
79,15,4,6,39
80,16,0,2,61
81,16,1,5,39
82,16,2,7,61
83,16,3,6,39
84,16,4,10,61
85,17,0,4,39
86,17,1,5,61
87,17,2,3,39
88,17,3,7,61
89,17,4,2,39
90,18,0,8,61
91,18,1,5,39
92,18,2,11,61
93,18,3,4,39
94,18,4,5,61
95,19,0,2,39
96,19,1,7,61
97,19,2,5,39
98,19,3,9,61
99,19,4,4,39
100,20,0,7,61
101,20,1,7,39
102,20,2,9,61
103,20,3,2,39
104,20,4,2,61
