node,col,row,failure_count,total_tests
0,0,0,1,57
1,0,1,0,43
2,0,2,1,57
3,0,3,1,43
4,0,4,5,57
5,1,0,4,43
6,1,1,0,57
7,1,2,1,43
8,1,3,7,57
9,1,4,3,43
10,2,0,8,57
11,2,1,1,43
12,2,2,4,57
13,2,3,3,43
14,2,4,4,57
15,3,0,4,43
16,3,1,2,57
17,3,2,2,43
18,3,3,8,57
19,3,4,4,43
20,4,0,10,57
21,4,1,5,43
22,4,2,3,57
23,4,3,4,43
24,4,4,4,57
25,5,0,4,43
26,5,1,6,57
27,5,2,7,43
28,5,3,6,57
29,5,4,4,43
30,6,0,3,57
31,6,1,3,43
32,6,2,8,57
33,6,3,3,43
34,6,4,12,57
35,7,0,5,43
36,7,1,7,57
37,7,2,1,43
38,7,3,8,57
39,7,4,4,43
40,8,0,6,57
41,8,1,5,43
42,8,2,8,57
43,8,3,5,43
44,8,4,8,57
45,9,0,5,43
46,9,1,8,57
47,9,2,4,43
48,9,3,5,57
49,9,4,4,43
50,10,0,9,57
51,10,1,7,43
52,10,2,9,57
53,10,3,6,43
54,10,4,3,57
55,11,0,5,43
56,11,1,4,57
57,11,2,3,43
58,11,3,10,57
59,11,4,2,43
60,12,0,5,57
61,12,1,8,43
62,12,2,5,57
63,12,3,5,43
64,12,4,3,57
65,13,0,5,43
66,13,1,6,57
67,13,2,4,43
68,13,3,5,57
69,13,4,4,43
70,14,0,3,57
71,14,1,6,43
72,14,2,9,57
73,14,3,4,43
74,14,4,7,57
75,15,0,3,43
76,15,1,7,57
77,15,2,2,43
78,15,3,3,57
79,15,4,4,43
80,16,0,3,57
81,16,1,8,43
82,16,2,5,57
83,16,3,7,43
84,16,4,7,57
85,17,0,3,43
86,17,1,4,57
87,17,2,5,43
88,17,3,10,57
89,17,4,9,43
90,18,0,7,57
91,18,1,9,43
92,18,2,7,57
93,18,3,4,43
94,18,4,3,57
95,19,0,1,43
96,19,1,5,57
97,19,2,4,43
98,19,3,6,57
99,19,4,5,43
100,20,0,9,57
101,20,1,4,43
102,20,2,6,57
103,20,3,2,43
104,20,4,1,57
