node,col,row,failure_count,total_tests
0,0,0,2,44
1,0,1,5,56
2,0,2,3,44
3,0,3,2,56
4,0,4,1,44
5,1,0,4,56
6,1,1,2,44
7,1,2,2,56
8,1,3,1,44
9,1,4,8,56
10,2,0,9,44
11,2,1,14,56
12,2,2,6,44
13,2,3,8,56
14,2,4,6,44
15,3,0,7,56
16,3,1,4,44
17,3,2,6,56
18,3,3,3,44
19,3,4,7,56
20,4,0,6,44
21,4,1,13,56
22,4,2,5,44
23,4,3,9,56
24,4,4,5,44
25,5,0,11,56
26,5,1,4,44
27,5,2,7,56
28,5,3,3,44
29,5,4,4,56
30,6,0,5,44
31,6,1,6,56
32,6,2,7,44
33,6,3,7,56
34,6,4,12,44
35,7,0,6,56
36,7,1,6,44
37,7,2,5,56
38,7,3,4,44
39,7,4,5,56
40,8,0,8,44
41,8,1,10,56
42,8,2,9,44
43,8,3,10,56
44,8,4,9,44
45,9,0,6,56
46,9,1,7,44
47,9,2,9,56
48,9,3,6,44
49,9,4,5,56
50,10,0,4,44
51,10,1,5,56
52,10,2,5,44
53,10,3,7,56
54,10,4,5,44
55,11,0,6,56
56,11,1,2,44
57,11,2,14,56
58,11,3,7,44
59,11,4,7,56
60,12,0,1,44
61,12,1,15,56
62,12,2,9,44
63,12,3,15,56
64,12,4,9,44
65,13,0,6,56
66,13,1,6,44
67,13,2,5,56
68,13,3,2,44
69,13,4,11,56
70,14,0,6,44
71,14,1,6,56
72,14,2,9,44
73,14,3,16,56
74,14,4,7,44
75,15,0,5,56
76,15,1,6,44
77,15,2,6,56
78,15,3,5,44
79,15,4,12,56
80,16,0,5,44
81,16,1,5,56
82,16,2,7,44
83,16,3,12,56
84,16,4,10,44
85,17,0,2,56
86,17,1,1,44
87,17,2,4,56
88,17,3,4,44
89,17,4,9,56
90,18,0,6,44
91,18,1,11,56
92,18,2,7,44
93,18,3,8,56
94,18,4,7,44
95,19,0,5,56
96,19,1,7,44
97,19,2,10,56
98,19,3,6,44
99,19,4,10,56
100,20,0,8,44
101,20,1,4,56
102,20,2,7,44
103,20,3,12,56
104,20,4,2,44
