node,col,row,failure_count,total_tests
0,0,0,9,61
1,0,1,4,39
2,0,2,9,61
3,0,3,1,39
4,0,4,7,61
5,1,0,13,39
6,1,1,13,61
7,1,2,11,39
8,1,3,10,61
9,1,4,9,39
10,2,0,9,61
11,2,1,15,39
12,2,2,24,61
13,2,3,8,39
14,2,4,14,61
15,3,0,8,39
16,3,1,13,61
17,3,2,11,39
18,3,3,13,61
19,3,4,8,39
20,4,0,16,61
21,4,1,15,39
22,4,2,20,61
23,4,3,13,39
24,4,4,22,61
25,5,0,6,39
26,5,1,13,61
27,5,2,6,39
28,5,3,20,61
29,5,4,10,39
30,6,0,15,61
31,6,1,9,39
32,6,2,25,61
33,6,3,12,39
34,6,4,25,61
35,7,0,10,39
36,7,1,17,61
37,7,2,4,39
38,7,3,15,61
39,7,4,9,39
40,8,0,19,61
41,8,1,15,39
42,8,2,26,61
43,8,3,14,39
44,8,4,21,61
45,9,0,6,39
46,9,1,24,61
47,9,2,14,39
48,9,3,18,61
49,9,4,5,39
50,10,0,25,61
51,10,1,13,39
52,10,2,18,61
53,10,3,17,39
54,10,4,26,61
55,11,0,14,39
56,11,1,20,61
57,11,2,11,39
58,11,3,16,61
59,11,4,9,39
60,12,0,25,61
61,12,1,19,39
62,12,2,18,61
63,12,3,11,39
64,12,4,14,61
65,13,0,15,39
66,13,1,18,61
67,13,2,10,39
68,13,3,16,61
69,13,4,11,39
70,14,0,15,61
71,14,1,17,39
72,14,2,23,61
73,14,3,12,39
74,14,4,23,61
75,15,0,8,39
76,15,1,22,61
77,15,2,10,39
78,15,3,16,61
79,15,4,8,39
80,16,0,16,61
81,16,1,12,39
82,16,2,23,61
83,16,3,14,39
84,16,4,21,61
85,17,0,11,39
86,17,1,20,61
87,17,2,9,39
88,17,3,20,61
89,17,4,11,39
90,18,0,26,61
91,18,1,12,39
92,18,2,21,61
93,18,3,10,39
94,18,4,13,61
95,19,0,8,39
96,19,1,27,61
97,19,2,15,39
98,19,3,21,61
99,19,4,14,39
100,20,0,22,61
101,20,1,19,39
102,20,2,22,61
103,20,3,8,39
104,20,4,10,61
