node,col,row,prob
0,0,0,0.0
1,0,1,0.12467610438864811
2,0,2,0.0
3,1,0,0.12467610438864811
4,1,1,0.3533241389288581
5,1,2,0.0
6,2,0,0.3533241389288581
7,2,1,0.5
8,2,2,0.0
9,3,0,0.12467610438864811
10,3,1,0.3533241389288581
11,3,2,0.0
12,4,0,0.0
13,4,1,0.12467610438864811
14,4,2,0.0
15,5,0,0.0
16,5,1,0.0
17,5,2,0.0
18,6,0,0.13780169102611908
19,6,1,0.0
20,6,2,0.0
21,7,0,0.3347518779619409
22,7,1,0.0
23,7,2,0.0
24,8,0,0.45
25,8,1,0.2877786033550312
26,8,2,0.0
27,9,0,0.6225304813169721
28,9,1,0.5605161820417656
29,9,2,0.0
30,10,0,0.6983178730678846
31,10,1,0.7
32,10,2,0.0
33,11,0,0.2877786033550312
34,11,1,0.5605161820417656
35,11,2,0.0
36,12,0,0.0
37,12,1,0.2877786033550312
38,12,2,0.0
39,13,0,0.0
40,13,1,0.0
41,13,2,0.0
42,14,0,0.0
43,14,1,0.0
44,14,2,0.2518083489743879
45,15,0,0.0
46,15,1,0.0
47,15,2,0.55
48,16,0,0.0
49,16,1,0.054134113294645084
50,16,2,0.2518083489743879
51,17,0,0.054134113294645084
52,17,1,0.2426122638850534
53,17,2,0.0
54,18,0,0.2426122638850534
55,18,1,0.4
56,18,2,0.0
57,19,0,0.054134113294645084
58,19,1,0.2426122638850534
59,19,2,0.0
60,20,0,0.0
61,20,1,0.054134113294645084
62,20,2,0.0
