node,col,row,failure_count,total_tests
0,0,0,0,226
1,0,1,34,274
2,0,2,0,226
3,1,0,33,274
4,1,1,88,226
5,1,2,0,274
6,2,0,67,226
7,2,1,144,274
8,2,2,0,226
9,3,0,30,274
10,3,1,79,226
11,3,2,0,274
12,4,0,0,226
13,4,1,29,274
14,4,2,0,226
15,5,0,0,274
16,5,1,0,226
17,5,2,0,274
18,6,0,33,226
19,6,1,0,274
20,6,2,0,226
21,7,0,90,274
22,7,1,0,226
23,7,2,0,274
24,8,0,97,226
25,8,1,88,274
26,8,2,0,226
27,9,0,190,274
28,9,1,121,226
29,9,2,0,274
30,10,0,161,226
31,10,1,197,274
32,10,2,0,226
33,11,0,85,274
34,11,1,125,226
35,11,2,0,274
36,12,0,0,226
37,12,1,85,274
38,12,2,0,226
39,13,0,0,274
40,13,1,0,226
41,13,2,0,274
42,14,0,0,226
43,14,1,0,274
44,14,2,56,226
45,15,0,0,274
46,15,1,0,226
47,15,2,148,274
48,16,0,0,226
49,16,1,10,274
50,16,2,65,226
51,17,0,17,274
52,17,1,47,226
53,17,2,0,274
54,18,0,48,226
55,18,1,99,274
56,18,2,0,226
57,19,0,13,274
58,19,1,56,226
59,19,2,0,274
60,20,0,0,226
61,20,1,17,274
62,20,2,0,226
