node,col,row,failure_count,total_tests
0,0,0,0,257
1,0,1,32,243
2,0,2,0,257
3,1,0,31,243
4,1,1,92,257
5,1,2,0,243
6,2,0,99,257
7,2,1,111,243
8,2,2,0,257
9,3,0,29,243
10,3,1,90,257
11,3,2,0,243
12,4,0,0,257
13,4,1,31,243
14,4,2,0,257
15,5,0,0,243
16,5,1,0,257
17,5,2,0,243
18,6,0,33,257
19,6,1,0,243
20,6,2,0,257
21,7,0,81,243
22,7,1,0,257
23,7,2,0,243
24,8,0,117,257
25,8,1,75,243
26,8,2,0,257
27,9,0,155,243
28,9,1,147,257
29,9,2,0,243
30,10,0,163,257
31,10,1,175,243
32,10,2,0,257
33,11,0,64,243
34,11,1,163,257
35,11,2,0,243
36,12,0,0,257
37,12,1,68,243
38,12,2,0,257
39,13,0,0,243
40,13,1,0,257
41,13,2,0,243
42,14,0,0,257
43,14,1,0,243
44,14,2,65,257
45,15,0,0,243
46,15,1,0,257
47,15,2,123,243
48,16,0,0,257
49,16,1,12,243
50,16,2,62,257
51,17,0,17,243
52,17,1,54,257
53,17,2,0,243
54,18,0,54,257
55,18,1,92,243
56,18,2,0,257
57,19,0,13,243
58,19,1,48,257
59,19,2,0,243
60,20,0,0,257
61,20,1,16,243
62,20,2,0,257
